configuration,repeat,requests,throughput_rps,latency_p50_us,latency_p95_us,latency_p99_us,gateway_cpu_percent,gateway_rss_kb,container_cpu_percent,container_rss_kb,monitor_cpu_percent,monitor_rss_kb,inference_mean_us,inference_p95_us,audit_register_us,audit_append_mean_us,audit_append_p95_us
gateway_only,0,21781,363.029348976,36.338,199.957,777.9782,8.612731943117183,1448.0666666666666,12.838121752792544,1152.0,,,,,,,
gateway_only,1,21925,365.433183973,35.93,222.374,766.56992,8.71683070062141,1446.5333333333333,12.893438965984974,1152.0,,,,,,,
gateway_only,2,22140,369.0183208,34.6365,229.37635,773.02364,8.658987636990753,1449.0,12.567760358360408,1148.0,,,,,,,
gateway_only,3,21771,362.8707894,36.764,233.977,819.2371,8.70183888384417,1442.0666666666666,13.135330916445827,1152.0,,,,,,,
gateway_only,4,22010,366.841205042,34.952,196.66865,747.10756,8.482425907539476,1449.4666666666667,12.574752321273927,1148.0,,,,,,,
gateway_only,5,21978,366.302920674,34.672,203.21905,672.30538,8.47444190675267,1449.4666666666667,12.3022266724035,1152.0,,,,,,,
gateway_only,6,21894,364.915755475,35.9355,223.5246,806.76282,8.987921034598385,1442.8,13.076550199237051,1152.0,,,,,,,
gateway_only,7,21605,360.095223846,34.112,244.9712,1020.33988,8.826784320427782,1446.6666666666667,13.28886050465304,1148.0,,,,,,,
gateway_only,8,22069,367.844815188,35.93,214.7488,742.55916,8.882584005206306,1453.2666666666667,12.918003264575866,1148.0,,,,,,,
gateway_only,9,21714,361.903109122,35.922,224.4117,817.56278,8.870908842597904,1450.6666666666667,13.008419555112413,1136.0,,,,,,,
telemetry,0,22422,373.703490297,34.312,144.21655,639.53719,19.84246601151498,1469.7333333333333,12.333897081509228,1140.0,,,,,,,
telemetry,1,22620,377.008101106,34.2495,133.6998,658.3545,20.05270575605874,1469.8,12.32231957718767,1152.0,,,,,,,
telemetry,2,22332,372.213341168,33.6765,153.6652,588.16146,19.412429375518517,1465.4,11.9865552763137,1152.0,,,,,,,
telemetry,3,21997,366.64396708,34.397,158.2258,656.01488,20.495737833878838,1462.9333333333334,12.618536390773976,1136.0,,,,,,,
telemetry,4,22153,369.227267231,34.583,164.6402,761.14332,20.493047204220275,1464.2,12.805148401647909,1152.0,,,,,,,
telemetry,5,22256,370.948082841,34.1125,181.56925,674.9063,20.11474440302484,1465.2666666666667,12.38586838926366,1148.0,,,,,,,
telemetry,6,22406,373.44468373,33.904,180.92075,668.20275,19.95493244837969,1461.6666666666667,12.207289521571566,1152.0,,,,,,,
telemetry,7,22137,368.929153769,35.559,163.8422,718.87564,21.005048896866423,1459.7333333333333,12.769450510457618,1152.0,,,,,,,
telemetry,8,21971,366.196115,35.398,142.7425,734.2566,20.49268079698955,1450.9333333333334,12.799622553809996,1148.0,,,,,,,
telemetry,9,22425,373.763700819,33.206,164.7156,643.66976,19.831205557256634,1465.6666666666667,12.23801604434047,1152.0,,,,,,,
telemetry_iforest,0,22197,369.954562952,32.96,149.5736,640.984,19.466068372987177,1463.6610169491526,12.327516929981556,1136.0,11.10820892845975,30012.271186440677,1893.047909090909,2762.8805,0.0,0.0,0.0
telemetry_iforest,1,22344,372.403442361,33.6475,148.75255,614.06819,19.523864467102296,1453.2,12.293262489784023,1152.0,11.017681669799753,30599.0,2366.9936363636366,3389.679,0.0,0.0,0.0
telemetry_iforest,2,22422,373.706522711,32.9935,152.32815,624.17797,19.33291419372238,1466.1333333333334,12.188162008940708,1152.0,10.893559248193046,30319.533333333333,2030.455090909091,2644.4809999999998,0.0,0.0,0.0
telemetry_iforest,3,22231,370.517935487,34.328,148.7265,587.4166,19.799398594897408,1466.915254237288,12.413680765467818,1152.0,11.204287574693787,29994.71186440678,2230.0013636363637,3551.7520000000004,0.0,0.0,0.0
telemetry_iforest,4,22314,371.903703014,33.3085,129.8698,603.86286,19.702517803706026,1457.6,12.25067895025853,1136.0,10.897552331244563,30070.666666666668,2172.4985454545454,4266.236,0.0,0.0,0.0
telemetry_iforest,5,22002,366.711926126,34.816,133.78015,609.20069,20.114551942065294,1453.6949152542372,12.693524419498985,1152.0,11.284133356729436,29663.86440677966,2017.083818181818,2899.1565,0.0,0.0,0.0
telemetry_iforest,6,22315,371.927432174,34.002,138.4743,658.9184,20.37186018035349,1463.9322033898304,12.622365804501086,1148.0,11.096510651694574,30366.915254237287,2093.6780909090908,2649.49,0.0,0.0,0.0
telemetry_iforest,7,22086,368.099637324,34.784,138.808,731.55475,20.81013847614994,1468.0,12.843299425928178,1152.0,11.683734921074588,29748.474576271186,2050.301636363636,2323.8575,0.0,0.0,0.0
telemetry_iforest,8,21871,364.526725235,32.886,162.9855,684.6319,19.535361941478662,1466.6666666666667,12.262730052806514,1136.0,10.926087200431173,30338.0,2041.4968181818183,3175.245,0.0,0.0,0.0
telemetry_iforest,9,21872,364.539021448,34.6985,141.6622,685.36449,20.263268527808744,1460.8135593220338,12.913399091671883,1152.0,11.378979246349823,29830.237288135595,1948.9881818181818,2439.7325,0.0,0.0,0.0
telemetry_iforest_audit_ta,0,21895,364.932749782,34.08,144.2546,676.76732,20.398756994680863,1465.3559322033898,12.784487865849346,1152.0,12.003913265103833,30017.627118644068,1914.5391818181818,2194.41,728404.954,627322.8194545455,752169.662
telemetry_iforest_audit_ta,1,21706,361.785900658,34.069,153.1455,706.5437,20.804742970992375,1466.5084745762713,12.737276573006529,1152.0,11.538700419959765,30053.898305084746,2057.624909090909,2566.6440000000002,628379.516,619645.0241818181,687839.9850000001
telemetry_iforest_audit_ta,2,21750,362.507138926,35.439,169.87085,780.90765,21.087609598851245,1462.3728813559321,13.028306634370194,1152.0,11.764740607646303,30019.118644067796,2197.033545454545,2607.4695,941355.014,704428.544,883347.355
telemetry_iforest_audit_ta,3,21854,364.243567533,35.577,142.15125,698.03657,21.049898028839802,1466.9830508474577,12.889065265991517,1152.0,11.197198280628422,30025.01694915254,2211.324,3613.3975,605984.024,668952.0276363636,855839.798
telemetry_iforest_audit_ta,4,21899,364.995866415,33.787,140.5792,656.13072,20.398528666630696,1467.0,12.604661238125377,1152.0,10.998492127059983,30328.2,1874.3899090909092,2154.7965,726352.916,636455.9275454545,719576.7039999999
telemetry_iforest_audit_ta,5,21704,361.736402432,34.5775,149.34835,686.33955,20.068577583885233,1456.542372881356,12.61269922288601,1152.0,10.765124403315756,30209.830508474577,2221.4269090909092,3145.5344999999998,706770.834,650670.7924545455,821273.4299999999
telemetry_iforest_audit_ta,6,21770,362.836083516,33.7965,147.01875,721.09134,20.767755405794965,1464.8135593220338,12.828275579531876,1152.0,11.666514173574878,29738.101694915254,2429.6705454545454,3664.9055000000003,881529.13,662522.5368181819,822679.157
telemetry_iforest_audit_ta,7,22091,368.185361034,34.462,130.3135,659.5305,20.435322788726857,1447.9322033898304,12.768600548627001,1152.0,11.394479720499877,30494.64406779661,2002.9016363636363,2707.8085,703092.771,632879.397,701123.3570000001
telemetry_iforest_audit_ta,8,21812,363.536959942,33.527,156.5058,688.8245,20.357144914066886,1462.9830508474577,12.597573193320256,1140.0,11.335469202014814,30124.338983050846,2254.234909090909,2883.5559999999996,656426.909,669203.1472727273,932573.6995
telemetry_iforest_audit_ta,9,21679,361.329349544,33.687,148.9813,684.76608,20.096179081953174,1460.2033898305085,12.530471963871715,1148.0,11.634722947089323,30326.98305084746,2086.424090909091,3156.4885,858061.933,631499.9497272727,734014.579
